Engine Model,Desa Cummins Engine Model
3412C,15N
C32,B3.3
3508,B3.9
3516,B4.5
3406C,B5.9
C1.1,B5.9-G
C4.4,B6.2
C13,B6.7
C1.5,B6.7-G
C18,B7.0
C27,C8.3
C7.1,C8.3-G
3512B,F2.5
C7,F2.8
C15,F3.8
3512C,F4.5
3508B,G12
C0.5,G12-G
3606,K19
C9.3,K19-G
3516B,K38
C11,K38-G
3054C,K50
3512,K50-G
C2.2,L9
3516C,L9-G
3608,M10
C9,M11
311C,M13
163H,M15
65B,M8.5
992G,N14
627F,N14-G
966G,QSK23
120H,QSK38
924GZ,QSK45
834G,QSK60
318B,QSK60-G
508,QSK78
1676,QSK95
325C,QST30
826G,QST78
IT28G,R2.8
613,V28
938G,V28-G
950,V5.0
3516E,V903
777D,X11
990,X12
613C,X12-G
345B,X14N
322,X15
428C,Z14
8D,
3306,
966H,
3612,
621F,
CP533E,
3616,
236,
980,
320B,
D7R,
561M,
651E,
247,
3304,
314C,
769D,
525,
G3406,
535B,
933C,
268B,
232,
D11R,
320,
962G,
3126,
140B,
438C,
321C,
926,
D9H,
963C,
931,
776D,
525B,
972G,
988B,
336D2,
834B,
936,
784C,
D250E,
580,
312C,
D10R,
323D,
834H,
3114,
420D,
988H,
517,
3512E,
973C,
D8,
D8R,
D3,
311B,
589,
229,
785,
345C,
D5M,
D4C,
16H,
345D,
631E,
315,
D4G,
414E,
953C,
980G,
518,
D11,
446,
D5C,
950G,
160K,
611,
245,
773D,
730,
1693,
572R,
3412E,
D6G,
623G,
930,
D6N,
836G,
988F,
953D,
320CL,
545,
D6R,
777,
C10,
C9.3B,
785C,
5110B,
916,
E140,
12M,
257,
D6M,
325B,
924F,
6060,
320D3,
424D,
D10,
D5,
16M,
215,
450,
623F,
D7G,
3412,
637E,
615C,
416D,
304C,
160H,
943,
130G,
315B,
955,
G3408,
C6.6,
324D,
797,
824G,
3034,
3196,
AD22,
AD30,
816F,
924H,
735,
3408,
307C,
633E,
941,
C17520,
3406E,
992K,
631G,
789,
E110,
908,
D9T,
930G,
988G,
573D,
769C,
814,
307B,
973,
319D,
14G,
657E,
D300E,
583R,
385B,
615,
85C,
D5N,
430E,
D9N,
836H,
983,
775B,
5130B,
914,
966,
3406B,
992C,
3116,
G3306B,
914G,
330C,
D400,
3150,
322C,
G3512E,
5080,
639D,
963D,
24M,
527,
573,
65C,
936F,
D9R,
910,
AD55,
928G,
950F,
M318,
CP44B,
977D,
323,
336E,
416,
621G,
951,
430D,
226,
349E,
854G,
771D,
160M,
CCS9,
308C,
D6K2,
424,
CB534,
C0.7,
982M,
277,
980K,
834,
AP655D,
262,
CS563C,
903C,
PM200,
TH55E70,
773B,
933,
321B,
966M,
D7,
910E,
515,
797F,
318E,
CB534C,
651,
3408C,
564,
BG500E,
317,
824K,
CB534D,
950B,
M315,
312B,
416C,
IT62H,
16G,
D600,
558,
328D,
24H,
333,
627,
C12,
6015B,
140M,
CS10,
415F2,
992D,
CS78B,
631K,
C3.6,
PM201,
815,
814B,
430,
824C,
AP300D,
775E,
CX31,
994K,
315C,
213,
CX48,
AP800C,
928F,
335F,
D6H,
993K,
C1.7,
PS150B,
953,
963,
G3412,
D9L,
C13B,
120K,
390D,
349F,
CB10,
16HNA,
573C,
563C,
973K,
966D,
PF300B,
D5G,
G3516H,
CB614,
854K,
IT12,
G3520H,
D4H,
D4E,
621K,
528,
311F,
440,
G3512,
D8L,
773F,
D6D,
773E,
627G,
3406,
330B,
C3.3,
D6E,
5130,
836,
TH48E70,
773G,
D4K2,
972H,
826B,
PM565,
420E,
12H,
C16,
907,
3054B,
950H,
CX35,
F2.8,
M11,
QSK78,
B4.5 & F4.5,
L9,
X15 & M15,
F3.8,
B6.7,
G12 & X12,
K19 & K19-G,
V28,
K50,
QST30,
K38-G & K38,
QSK60,
QSK95,
ISX,
